"鵯","bie"
"北","beok"
"贝","bay"
"孛","bhot|bhoy"
"邶","bhoy"
"貝","bay"
"狈","bay"
"苝","bhoy"
"备","bheh"
"背","boy|bhoy|boi"
"钡","bay"
"俻","bheh"
"倍","broj"
"狽","bay"
"悖","bhot|bhoy"
"被","brex|breh"
"鄁","bhoy"
"偝","bhoy"
"琲","bhoj|bhoy"
"辈","boy"
"備","bheh"
"惫","bbey"
"焙","bhoy"
"蓓","broj"
"碚","broj"
"骳","meex"
"犕","bheh"
"誖","bhot|bhoy|boy"
"褙","boy"
"輩","boy"
"鋇","bay"
"憊","bbey"
"糒","bheh"
"鞴","bheh|bbey|gu|ku|bjuk|bhoh"
"鐾","bjeh|bhey"
"呗","bay|bbay"
"唄","bay|bbay"
"奔","bon|bol"
"贲","bon|bjun|bvoi|beeh"
"逩","bol"
"賁","bon|bjun|bvoi|beeh"
"犇","bon"
"锛","bon"
"錛","bon"
"本","bor"
"夲","tau"
"苯","bor"
"畚","bor"
"翉","por"
"坌","bhol|bjul|bjur"
"笨","bhor|bor"
"伻","paeq"
"崩","beoq"
"绷","baeq"
"閍","baaq"
"絣","baeq"
"嘣","beoq"
"繃","baeq"
"甭","broq"
"埲","bhug"
"菶","bhug|bug"
"琫","bug"
"泵","beoc"
"迸","baec"
"跰","bhen|baac"
"甏","bbac"
"镚","beoc"
"蹦","broc"
"鏰","beoc"
"皀","hiaq|geip|bik|beip"
"屄","bi"
"悂","pi|bei"
"偪","bik|biuk"
"逼","bik"
"鈚","bhi|pei"
"楅","bik|biuk"
"豍","bei"
"鵖","geep|beip"
"鎞","bei"
"柲","bhet|bhit|beh|beit"
"荸","bhot"
"鼻","bhih"
"匕","bix"
"比","bix|bhih|bhi|bhit|bih|bhix"
"朼","bix"
"吡","piex|bhit"
"佊","beex|beeh"
"疕","pex|piex|bix"
"沘","bhi|bix"
"妣","bix"
"彼","beex"
"柀","beex"
"秕","bix"
"粊","beh"
"笔","beit"
"俾","biex"
"舭","bix"
"娝","bex"
"啚","dho|bex"
"筆","beit"
"鄙","bex"
"魮","bhi"
"币","bjey"
"必","bit"
"毕","bit"
"闭","bey|bet"
"坒","bhih|bhit"
"佖","bhit|brit"
"庇","bih"
"邲","bhit|brit|beh"
"诐","bee|beeh"
"苾","bhet|bhit"
"畀","bih"
"畁","gji|gjih"
"怭","bhit"
"妼","bhit"
"珌","bit"
"荜","bit"
"毖","beh"
"哔","bit"
"陛","bhej"
"毙","bjey"
"畢","bit"
"铋","beit|beh"
"狴","bei"
"萆","bjek|sij"
"梐","bhej|bei"
"閉","bey|bet"
"閇","bey"
"庳","bjex"
"敝","bjey"
"婢","bjex"
"堛","pik"
"皕","bik"
"貱","beeh"
"赑","bheh"
"筚","bit"
"詖","bee|beeh"
"湢","bik"
"愊","pik"
"愎","bhik"
"弼","brit"
"蓽","bit"
"蓖","bei"
"閟","beh"
"跸","bit"
"嗶","bit"
"鉍","beit|beh"
"飶","bhet|bhit"
"腷","bhik"
"痹","bih|bie"
"痺","bie|bih"
"滭","bit"
"滗","beit"
"裨","bje|bie"
"彃","bit"
"碧","byek|biek|beek|byik"
"鞁","breh"
"蔽","biey"
"稫","pik"
"馝","bhet|bhit"
"箅","bey"
"弊","bjey"
"幣","bjey"
"熚","bit"
"鄪","beh"
"綼","bhit|bek"
"髲","breh"
"駜","bhit|brit"
"罼","bit"
"獘","bjey"
"潷","beit"
"薜","baek|bhey"
"觱","bit|fiut"
"篳","bit"
"篦","bei"
"鮅","bhit|bit"
"廦","piek|bek"
"壁","bek"
"避","bjeh"
"嬖","bey"
"縪","bit"
"鞞","bhei|beg|bie|biex"
"蹕","bit"
"髀","biex|bhej|bix"
"斃","bjey"
"濞","peh|pey"
"臂","bieh"
"奰","bheh"
"鏎","bit"
"饆","bit"
"鄨","biey|biet"
"璧","biek"
"襣","bhih"
"襞","biek"
"繴","bbek|bek"
"韠","bit"
"躃","bjek"
"躄","biek|bjek"
"鷝","pit|bit"
"贔","bheh"
"鐴","biek"
"鷩","biey|biet"
"鸊","bhek"
"鼊","bek"
"边","ben"
"砭","beem|beeb"
"笾","ben"
"萹","pien|ben|ber"
"猵","bhir|ben"
"编","ben|ber|bien"
"牑","ben"
"煸","ben"
"蝙","ben"
"箯","bjen|bien"
"編","ben|ber|bien"
"鞕","qaec"
"鳊","bien|baan"
"獱","bhin"
"鞭","bien"
"邊","ben"
"鯾","bien"
"鯿","bien|baan"
"籩","ben"
"釆","bbel"
"贬","beef"
"窆","beeb"
"扁","ber|bher|bjer|pien"
"匾","ber"
"貶","beef"
"惼","ber"
"碥","ber"
"褊","bier"
"糄","ber"
"鴘","peer|beer"
"藊","ber"
"卞","brel"
"弁","brel"
"抃","brel"
"苄","brel"
"汳","pyol"
"汴","brel"
"忭","brel"
"变","beel"
"昪","brel"
"便","bjel|bjen"
"揙","bien"
"徧","bel"
"遍","bel"
"缏","bjen|ber"
"閞","bvol|brel"
"辡","brer|beer"
"艑","bher"
"頨","hyen|fyox"
"緶","bjen|ber"
"辨","brer|bbel"
"辩","brer"
"辫","bher"
"辮","bher"
"辯","brer"
"變","beel"
"标","bieu|biev"
"飑","bbau|paok"
"骉","bieu|biiu"
"髟","bieu|biiu|saam"
"彪","biiu"
"淲","bjiu"
"猋","bieu"
"摽","bjev|pieu|piew"
"蔈","bieu"
"幖","bieu"
"颮","bbau|paok"
"滮","bjiu"
"骠","bjew"
"標","bieu|biev"
"膘","bjev|ziev|piev"
"麃","bbau|peev"
"熛","bieu"
"飙","bieu"
"镖","pieu"
"飚","bieu"
"瘭","bieu"
"儦","beeu"
"藨","brev|pau|beeu"
"瀌","bjiu|beeu"
"贆","bieu"
"爂","pieu"
"鏢","pieu"
"臕","beeu"
"镳","beeu"
"驃","bjew"
"飆","bieu"
"飊","bieu"
"鑣","beeu"
"驫","bieu|biiu"
"嫑","biew"
"表","beev"
"婊","beev"
"裱","beev|beew"
"錶","beev"
"褾","biev"
"俵","beew"
"鳔","bjev"
"鰾","bjev"
"憋","biet|piet"
"鳖","biet"
"鱉","biet"
"鼈","biet"
"虌","biet"
"別","bret|beet"
"别","bret|beet|biey"
"咇","bhet|bhit|beit"
"莂","beet"
"蛂","bhet"
"襒","bhet"
"蹩","bhet"
"瘪","bhet|piet"
"癟","bhet|piet"
"彆","biey"
"汃","paet|bein"
"邠","bein"
"玢","bein"
"砏","pein|piun|bein"
"宾","bin"
"彬","bein"
"傧","bin|bil"
"斌","bein"
"滨","bin"
"缤","pin"
"槟","bin"
"賓","bin"
"賔","bin"
"镔","bin"
"儐","bin|bil"
"濒","bin"
"豳","bein"
"虨","pein|baen|bein"
"濱","bin"
"檳","bin"
"霦","bein"
"瀕","bin"
"繽","pin"
"鑌","bin"
"顮","bin"
"摈","bil"
"殡","bil"
"膑","bhir"
"擯","bil"
"殯","bil"
"臏","bhir"
"髌","bhir"
"鬓","bil"
"髕","bhir"
"鬢","bil"
"仌","biq"
"冰","biq"
"兵","beeq"
"栟","bieq"
"掤","biq"
"丙","beeg"
"邴","beeg|beec"
"苪","beeg"
"秉","beeg"
"怲","beeg|beec"
"柄","beec"
"昞","beeg"
"饼","bieg"
"炳","beeg"
"窉","beeg"
"蛃","beeg"
"棅","beec"
"鈵","beec"
"禀","beif"
"稟","beif"
"鉼","bieg"
"餅","bieg"
"癛","lif"
"疒","naek|jeaq"
"并","bheg|biec|bieq|bbeg|bieg"
"併","biec|bbeg|bheg|bieg"
"並","bheg"
"庰","bjec"
"病","brec"
"竝","bheg"
"偋","bjec"
"摒","biec"
"傡","bbeg"
"寎","beec"
"鮩","bheg|bhit|bbag"
"靐","bhic"
"癶","buat"
"拨","buat"
"波","bua"
"玻","pua"
"盋","buat"
"钵","buat"
"饽","bhot"
"袚","byay|buat"
"袯","buat"
"剥","baok"
"剝","baok"
"菠","bua"
"缽","buat"
"紴","peex|bua"
"鉢","buat"
"碆","bwa|bua"
"播","buah"
"撥","buat"
"嶓","bua"
"餑","bhot"
"磻","bwan"
"驋","buat"
"鱍","puat|buat"
"仢","djak"
"伯","baak"
"驳","baok"
"帛","bbak"
"瓝","bbok"
"泊","bwak|bhak"
"郣","bhot"
"勃","bhot"
"胉","puak|pak"
"挬","bhot"
"钹","bwat"
"铂","bwak"
"瓟","bbok|bbau"
"亳","bwak|bhak"
"浡","bhot"
"桲","bhot"
"舶","bbak"
"脖","bhot"
"博","buak|bak"
"鹁","bhot"
"湐","baak"
"渤","bhot"
"搏","buak|puak|byoh|pak|bak"
"鈸","bwat"
"鉑","bwak|bhak"
"鲌","bbak"
"猼","buak|bak"
"馎","buak"
"愽","buak|bak"
"駁","baok"
"僰","brok"
"馛","bwat"
"箔","bwak|bhak"
"膊","puak|pak"
"踣","brok|puh"
"镈","buak"
"駮","baok"
"馞","bhot|pot"
"鮊","bbak"
"豰","bbok|huk|duk"
"襏","buat"
"鵓","bhot"
"礡","bwak|bhak"
"簙","buak|bak"
"鎛","buak|bak"
"餺","buak|bak"
"懪","bbok"
"髆","buak|bak"
"髉","baok"
"犦","bbok|bok"
"欂","bbek|brek|buak|bak"
"襮","buak|bok|bak"
"礴","bwak|bhak"
"鑮","bwak|buak|bhak|bak"
"跛","buax|beeh"
"檗","baek"
"擘","baek"
"簸","buah|buax"
"譒","buah"
"糪","paek|baek"
"蘗","baek"
"卜","buk|brok"
"啵","bua"
"蔔","brok"
"逋","bo"
"峬","bo"
"钸","bo"
"庯","bo"
"晡","bo"
"鈽","bo"
"誧","po|pox|poh|bo"
"轐","bhok|buk"
"卟","gei|kej"
"补","box"
"捕","bhoh"
"哺","bhoh"
"補","box"
"鳪","buk"
"鵏","bhoh|bo"
"不","biut|biu|biv|bot"
"布","boh"
"步","bhoh"
"佈","boh"
"抪","bo|boh"
"怖","poh|pyot"
"钚","biut"
"荹","bho|bhoh"
"部","bhox|bhux"
"悑","poh"
"埠","bhoh"
"鈈","biut"
"瓿","bhux|bvo"
"蔀","bhux|pux"
"踄","bwak|bhak"
"餔","bhoh|bo"
"篰","bhux"
"醭","puk"
"簿","bhox|bwak|bhak"
"攃","sat|cat"
"擦","cat|caet"
"礤","cat"
"遪","djop"
"猜","ceoi"
"才","jeoi"
"材","jeoi"
"财","jeoi"
"財","jeoi"
"裁","jeoi|jeoy"
"纔","jeoi|saam|jeoy"
"采","ceoj|ceoy"
"採","ceoj"
"彩","ceoj"
"寀","ceoj"
"睬","ceoj"
"綵","ceoj"
"踩","ceoj"
"埰","ceoy"
"菜","ceoy"
"棌","ceoy"
"蔡","cay"
"参","ceom|seim|ceim|sam|ceob"
"飡","can"
"參","ceom|seim|ceim|sam|ceob"
"骖","ceom"
"湌","can"
"傪","ceom|ceof"
"嵾","ceim"
"餐","can"
"驂","ceom"
"残","jan"
"蚕","jeom|ter"
"惭","jam"
"殘","jan"
"慚","jam"
"慙","jam"
"蠶","jeom"
"惨","ceof"
"慘","ceof"
"憯","cef|ceof"
"黪","ceof|caf"
"黲","caf|ceof"
"灿","cal"
"粲","cal"
"薒","cal"
"璨","cal"
"燦","cal"
"謲","ceob"
"仓","caq"
"伧","caq|jaaq"
"苍","caq|cag"
"沧","caq|ceac"
"鸧","caq|ciaq"
"舱","caq"
"倉","caq"
"凔","caq"
"蒼","caq|cag"
"滄","caq|ceac"
"艙","caq"
"鶬","caq|ciaq"
"匨","zaq"
"藏","jaq|jac"
"操","cau|caw|sux"
"糙","caw"
"曹","jau"
"傮","zau"
"蓸","jau"
"嘈","jau"
"漕","jau|jaw"
"慒","xiu|joq"
"槽","jau|zau"
"褿","jau"
"螬","jau"
"艚","jau"
"艹","cav"
"艸","cav"
"草","cav"
"愺","cav"
"騲","cav"
"肏","caw"
"刂","dau"
"冊","caek"
"册","caek"
"厕","ceiy"
"侧","zeik"
"拺","saek|caek"
"测","ceik"
"恻","ceik"
"笧","caek"
"側","zeik"
"萴","zeik|jeik"
"策","caek"
"廁","ceiy"
"測","ceik"
"惻","ceik"
"墄","ceok"
"憡","caek"
"岑","jeim"
"笒","grib|jeim"
"涔","jeim"
"梣","jim|jeim"
"噌","caeq"
"层","jeoq"
"曾","jeoq|zeoq"
"嶒","jiq"
"層","jeoq"
"竲","zeoq|jiq"
"驓","jiq"
"蹭","ceoc"
"叉","caa|cae"
"扱","caep"
"扠","tae"
"芆","cae"
"杈","caa|caeh"
"臿","caep"
"訍","caeh"
"偛","zaep"
"插","caep"
"馇","caa"
"锸","caep|teep"
"艖","caa|ja"
"嚓","caet"
"鍤","caep|teep"
"鎈","caa"
"餷","caa"
"秅","dda|doh"
"茬","jeii|zeii"
"茶","dda"
"查","jaa|zaa|jae"
"査","jaa|zaa|jae"
"搽","dda"
"靫","cae|caa"
"猹","jaa"
"槎","jaa|jaax"
"詧","caet|cet"
"摖","cey"
"碴","zaa|jaa"
"察","caet"
"褨","sax"
"檫","caet"
"衩","caah|caeh"
"镲","caet"
"鑔","caet"
"汊","caah"
"奼","taax|doh|daah"
"岔","caah"
"侘","taa|taah"
"刹","caat"
"诧","taah"
"差","cae|caei|cee|caeh|caa"
"姹","taah|taax"
"詫","taah"
"拆","taak"
"钗","cae"
"釵","cae"
"疀","caep"
"侪","jaei"
"柴","jae"
"豺","jaei"
"祡","jae"
"儕","jaei"
"虿","taay"
"瘥","ja|caeh|zia"
"蠆","taay"
"觇","teem|teeb"
"梴","teen"
"掺","saem|saef"
"搀","caam|jaem"
"覘","teeb|teem"
"裧","cjeb|cjem|taf"
"摻","saem|saef"
"幨","cjeb|cjem"
"襜","cjeb|cjem"
"攙","caam|jaem"
"谗","jaem|jaab"
"婵","djen"
"棎","djem"
"馋","jaem"
"禅","djen|djel"
"孱","jran|jaer|jeen"
"缠","dren|drel"
"蝉","djen"
"僝","jran|jyal"
"鋋","djen|yien"
"獑","jaem|jaam"
"誗","drem"
"儃","dhan|djen"
"廛","dren"
"潺","jran|jeen"
"嬋","djen"
"緾","dren"
"澶","djen|dhal"
"禪","djen|djel"
"毚","jaem|jaam"
"鄽","dren"
"襌","dan"
"蟬","djen"
"瀍","dren"
"蟾","djem|zjem"
"儳","caab|jaeb|jaem"
"劖","jaam"
"酁","jaem|jaam"
"繵","dhar"
"嚵","caab|jief|jaam"
"巉","jaam|jaaf"
"瀺","jaef"
"欃","jaem|jaab"
"纏","dren|drel"
"躔","dren"
"镵","jaab|jaam"
"艬","jaab|jaam"
"讒","jaem|jaab"
"鑱","jaab|jaam"
"饞","jaem"
"产","saer"
"刬","caer"
"旵","taef"
"丳","caer"
"浐","saer"
"谄","teef"
"啴","cjer|tan"
"铲","caer|caal"
"產","saer"
"産","saer"
"阐","cjer"
"蒇","teer"
"剷","caer"
"嵼","saer"
"滻","saer"
"蕆","teer"
"幝","cjer"
"諂","teef"
"骣","jaar"
"燀","zjer|cjen|cjer"
"簅","saer"
"醦","saef|ceif"
"冁","teer"
"繟","dhan|cjer"
"鏟","caer|caal"
"闡","cjer"
"囅","teer"
"讇","teef"
"灛","cjer"
"忏","caab"
"剗","caer"
"硟","cjel|sien"
"摲","caab"
"颤","zjel"
"懺","caab"
"羼","caal|caer"
"韂","cjeb"
"顫","zjel"
"伥","teaq|daac"
"昌","cjaq"
"倀","teaq|daac"
